"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12725","Add product to cart test @master @regression","chromium","2026-05-02","passed","2026-05-02","","AddToCart.spec.ts","",""
"","5843","Login Test for Invalid login2 @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
"","5712","Login Test for Invalid login @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
"","31855","User registration test","firefox","2026-05-01","broken","2026-05-01","","account-registration.spec.ts","",""
"","8536","User registration test","chromium","2026-05-01","passed","2026-05-01","","account-registration.spec.ts","",""
"","6065","Login Test for Invalid login1 @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
"","6825","Login Test for Valid login1 @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
"","14920","User logout test @master @regression","chromium","2026-05-02","passed","2026-05-02","","logout.spec.ts","",""
"","12186","User login test @sanity @regression @master","chromium","2026-05-03","passed","2026-05-03","","login.spec.ts","",""
"","16972","execute end-to-end test flow @end-to-end","chromium","2026-05-03","passed","2026-05-03","","EndToEndTest.spec.ts","",""
"","15170","User registration test @sanity @regression @master","chromium","2026-05-03","passed","2026-05-03","","account-registration.spec.ts","",""
"","6689","Login Test for Valid login2 @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
"","3340","User registration test","webkit","2026-05-01","failed","2026-05-01","","account-registration.spec.ts","",""
"","2340","Product search test @master @regression","chromium","2026-05-02","passed","2026-05-02","","SearchProduct.spec.ts","",""
"","6146","Login Test for Valid login @datadriven","chromium","2026-05-01","passed","2026-05-01","","loginddt.spec.ts","",""
